City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Guadalajara,MX,75.02,broken clouds,20.6667,-103.3333,Hotel Aranzazú
632,Springbok,ZA,75.42,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
642,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
643,Rosarito,MX,75.67,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
650,Janauba,BR,77.31,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
652,Kikwit,CD,73.06,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
654,Kulhudhuffushi,MV,80.96,overcast clouds,6.6221,73.07,Haajy Guest House 1
656,San Pedro,PH,76.32,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
657,Mutis,CO,81.86,light rain,6.2262,-77.4044,Paraiso Escondido
660,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Hotel Central
665,Calamar,CO,85.95,overcast clouds,10.2511,-74.9146,Hostal Katyalex
666,Uberlandia,BR,77.56,overcast clouds,-18.9186,-48.2772,Hotel Apollo
667,Moindou,NC,80.55,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
672,Jacareacanga,BR,79.52,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
