City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Karatau,KZ,43.1667,70.4667,28.35,88,89,0.43,overcast clouds
316,Jinchang,CN,38.4953,102.1739,21.15,54,1,1.32,clear sky
317,Bonavista,CA,48.6499,-53.1147,29.12,79,98,20.45,overcast clouds
318,Waddan,LY,29.1614,16.139,49.89,60,3,4.36,clear sky
319,Washington,US,47.5001,-120.5015,41.92,92,100,2.26,overcast clouds
320,Pizarro,CO,4.9533,-77.366,80.94,80,98,5.3,light rain
321,Rancagua,CL,-34.1708,-70.7444,85.86,30,0,9.22,clear sky
322,Labuhan,ID,-6.8844,112.2051,77.65,88,89,10.63,overcast clouds
323,Mogadishu,SO,2.0371,45.3438,77.77,79,98,23.38,overcast clouds
324,Pacific Grove,US,36.6177,-121.9166,69.39,50,0,1.01,clear sky
325,Tasiilaq,GL,65.6145,-37.6368,5.63,51,58,13.04,broken clouds
326,Karasuk,RU,53.7377,78.0403,-12.37,100,99,4.61,overcast clouds
327,Klaksvik,FO,62.2266,-6.589,40.12,67,100,26.22,overcast clouds
328,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,82,20,3.44,few clouds
329,Sangar,RU,63.9242,127.4739,-27.42,99,100,3.8,overcast clouds
330,Supe,PE,-10.8,-77.7333,74.71,76,58,10.38,broken clouds
331,Guerrero Negro,MX,27.9769,-114.0611,66.69,38,64,5.44,broken clouds
332,Necochea,AR,-38.5473,-58.7368,72.23,50,91,8.32,overcast clouds
333,Muscat,OM,23.6139,58.5922,65.88,59,1,8.59,clear sky
334,Vanavara,RU,60.34,102.2797,-8.39,100,100,1.99,overcast clouds
335,Sur,OM,22.5667,59.5289,67.57,58,0,12.41,clear sky
336,Praia,CV,14.9215,-23.5087,75.74,57,100,17.27,overcast clouds
337,Sulangan,PH,11.1373,123.7228,79.07,86,100,15.77,overcast clouds
338,Waingapu,ID,-9.6567,120.2641,77.81,85,100,9.93,overcast clouds
339,Tari,NG,12.4086,4.4914,71.89,13,1,10.67,clear sky
340,Mount Isa,AU,-20.7333,139.5,74.97,100,40,1.14,scattered clouds
341,Freeport,US,40.6576,-73.5832,38.32,48,72,8.99,broken clouds
342,Mabaruma,GY,8.2,-59.7833,79.03,69,6,5.84,clear sky
343,Raudeberg,NO,61.9875,5.1352,47.19,84,100,13.0,overcast clouds
344,Terney,RU,45.0503,136.6092,3.74,84,2,12.1,clear sky
345,Great Bend,US,38.3645,-98.7648,61.84,40,26,9.51,scattered clouds
346,Constitucion,CL,-35.3333,-72.4167,67.1,65,0,20.98,clear sky
347,Teguise,ES,29.0605,-13.564,62.82,77,20,3.44,few clouds
